iter	Passed	Remaining
846	1158	209
847	1159	207
848	1160	206
849	1161	204
850	1162	203
851	1163	202
852	1165	200
853	1166	199
854	1167	197
855	1168	196
856	1169	195
857	1170	193
858	1171	192
859	1172	190
860	1173	189
861	1174	188
862	1175	186
863	1176	185
864	1177	183
865	1179	182
866	1180	181
867	1181	179
868	1182	178
869	1183	176
870	1184	175
871	1185	174
872	1186	172
873	1187	171
874	1188	169
875	1189	168
876	1190	167
877	1191	165
878	1192	164
879	1193	162
880	1195	161
881	1196	160
882	1197	158
883	1198	157
884	1199	155
885	1200	154
886	1201	153
887	1203	151
888	1204	150
889	1205	149
890	1206	147
891	1207	146
892	1208	144
893	1210	143
894	1211	142
895	1212	140
896	1214	139
897	1215	138
898	1216	136
899	1217	135
900	1218	133
901	1219	132
902	1220	131
903	1222	129
904	1223	128
905	1224	127
906	1225	125
907	1226	124
908	1227	122
909	1228	121
910	1229	120
911	1231	118
912	1232	117
913	1233	116
914	1234	114
915	1235	113
916	1236	111
917	1237	110
918	1238	109
919	1239	107
920	1240	106
921	1242	105
922	1243	103
923	1244	102
924	1245	100
925	1246	99
926	1247	98
927	1248	96
928	1249	95
929	1250	94
930	1251	92
931	1252	91
932	1253	90
933	1254	88
934	1256	87
935	1257	85
936	1258	84
937	1259	83
938	1267	82
939	1268	80
940	1269	79
941	1271	78
942	1272	76
943	1273	75
944	1275	74
945	1276	72
946	1277	71
947	1278	70
948	1279	68
949	1280	67
950	1281	66
951	1282	64
952	1283	63
953	1284	61
954	1285	60
955	1287	59
956	1288	57
957	1290	56
958	1291	55
959	1292	53
960	1293	52
961	1294	51
962	1295	49
963	1296	48
964	1297	47
965	1298	45
966	1299	44
967	1300	43
968	1302	41
969	1303	40
970	1305	38
971	1306	37
972	1307	36
973	1308	34
974	1309	33
975	1310	32
976	1311	30
977	1312	29
978	1313	28
979	1314	26
980	1316	25
981	1317	24
982	1318	22
983	1319	21
984	1320	20
985	1321	18
986	1322	17
987	1323	16
988	1325	14
989	1326	13
990	1327	12
991	1328	10
992	1329	9
993	1330	8
994	1331	6
995	1333	5
996	1334	4
997	1335	2
998	1336	1
999	1337	0
